Date,Link,Title,Venue,Language
2020-06-13 21:00:00+00:00,https://www.bernerzeitung.ch/dieses-corona-buch-ist-ein-verkaufshit-970221501002,Nr. 1 der «Spiegel»-Bestsellerliste – Dieses Corona-Buch ist ein Verkaufshit  | Berner Zeitung,Berner Zeitung,DE
2020-06-13 21:00:00+00:00,https://www.tagesanzeiger.ch/dieses-corona-buch-ist-ein-verkaufshit-970221501002,Nr. 1 der «Spiegel»-Bestsellerliste – Dieses Corona-Buch ist ein Verkaufshit  | Tages-Anzeiger,Tages Anzeiger,DE
2020-06-13 21:13:58+00:00,https://www.bazonline.ch/diese-dokumente-zeigen-wie-der-bund-die-pandemie-unterschaetzt-hat-759682212111,"Die Corona-Protokolle – Diese Dokumente zeigen, wie der Bund die Pandemie unterschätzt hat ",Basler Zeitung,DE
2020-06-13 21:13:58+00:00,https://www.bernerzeitung.ch/diese-dokumente-zeigen-wie-der-bund-die-pandemie-unterschaetzt-hat-759682212111,"Die Corona-Protokolle – Diese Dokumente zeigen, wie der Bund die Pandemie unterschätzt hat | Berner Zeitung",Berner Zeitung,DE
2020-06-13 21:13:58+00:00,https://www.tagesanzeiger.ch/diese-dokumente-zeigen-wie-der-bund-die-pandemie-unterschaetzt-hat-759682212111,"Die Corona-Protokolle – Diese Dokumente zeigen, wie der Bund die Pandemie unterschätzt hat | Tages-Anzeiger",Tages Anzeiger,DE
2020-06-13 21:17:48.857000+00:00,https://www.bazonline.ch/kinder-schlittern-wegen-der-corona-krise-in-die-armut-713403772581,Folgen der Corona-Krise  – Kinder schlittern in die Armut ,Basler Zeitung,DE
2020-06-13 21:17:48.857000+00:00,https://www.bernerzeitung.ch/kinder-schlittern-wegen-der-corona-krise-in-die-armut-713403772581,Folgen der Corona-Krise  – Kinder schlittern in die Armut | Berner Zeitung,Berner Zeitung,DE
2020-06-13 21:17:48.857000+00:00,https://www.tagesanzeiger.ch/kinder-schlittern-wegen-der-corona-krise-in-die-armut-713403772581,Folgen der Corona-Krise  – Kinder schlittern in die Armut | Tages-Anzeiger,Tages Anzeiger,DE
2020-06-13 21:34:46+00:00,https://www.bazonline.ch/wir-schaemen-uns-und-shoppen-weiter-210795347771,Mode nach Corona – Wir schämen uns – und shoppen mehr denn je ,Basler Zeitung,DE
2020-06-13 21:34:46+00:00,https://www.bernerzeitung.ch/wir-schaemen-uns-und-shoppen-weiter-210795347771,Mode nach Corona – Wir schämen uns – und shoppen mehr denn je | Berner Zeitung,Berner Zeitung,DE
2020-06-13 21:34:46+00:00,https://www.tagesanzeiger.ch/wir-schaemen-uns-und-shoppen-weiter-210795347771,Mode nach Corona – Wir schämen uns – und shoppen mehr denn je | Tages-Anzeiger,Tages Anzeiger,DE
2020-06-13 22:04:26.627000+00:00,https://www.20minutes.ch/fr/story/une-facture-dingue-pour-un-americain-touche-par-le-covid-19-800769797608,20min - Une facture dingue pour un Américain touché par le Covid-19,20 Minutes (FR),FR
2020-06-14 00:35:00+00:00,https://www.tagesanzeiger.ch/web/20200612120018/http://www.tagesanzeiger.ch/coronavirus-weltweit-879783112176,Coronavirus weltweit  – +++ China meldet 57 neue Fälle – Furcht vor zweiter Welle +++ Impfallianz in Europa | Tages-Anzeiger,Tages Anzeiger,DE
2020-06-14 01:49:53.535300+00:00,https://www.blick.ch/news/wirtschaft/diese-laender-oeffnen-trotz-corona-ihre-grenzen-die-sommer-ferien-am-meer-sind-gerettet-id15935405.html,Sommerferien trotz Corona: Länder-Übersicht für Reisende ,Blick,DE
2020-06-14 01:51:55.555500+00:00,https://www.blick.ch/news/bundesrat-arbeitet-neues-konzept-aus-bei-einer-zweiten-corona-welle-kaemen-regionale-lockdowns-id15936617.html,Bei zweiter Corona-Welle folgen kantonale regionale Lockdowns ,Blick,DE
2020-06-14 01:56:45.454500+00:00,https://www.blick.ch/auto/news_n_trends/ferien-an-schweizer-seen-statt-an-auslaendischen-straenden-kommt-jetzt-der-camper-boom-id15931115.html,Nach der Corona-Krise könnte Urlaub im Camper zum Trend werden,Blick,DE
2020-06-14 03:00:00+00:00,https://www.aargauerzeitung.ch/solothurn/kanton-solothurn/solothurner-bevoelkerung-zeigte-sich-solidarisch-waehrend-der-coronakrise-138156521,Solothurner Bevölkerung zeigte sich solidarisch während der Coronakrise  - Kanton (Solothurn) - Solothurn - Aargauer Zeitung,Aargauer Zeitung,DE
2020-06-14 04:23:36.998000+00:00,https://www.bazonline.ch/16-neue-ansteckungen-tessin-will-mehr-schutzmaterial-lagern-995812243782,Coronavirus in der Schweiz – +++ Regionale Lockdowns möglich +++ BAG meldet 31 Neuinfektionen ,Basler Zeitung,DE
2020-06-14 04:23:36.998000+00:00,https://www.tagesanzeiger.ch/web/20200612120018/http://www.tagesanzeiger.ch/coronavirus-in-der-schweiz-995812243782,Coronavirus in der Schweiz – +++ Regionale Lockdowns möglich +++ BAG meldet 31 Neuinfektionen | Tages-Anzeiger,Tages Anzeiger,DE
