Date,Price,Open,High,Low,Change %
"Feb 24, 2020",1.2929,1.296,1.2973,1.2886,-0.32%
"Feb 23, 2020",1.2929,1.296,1.2973,1.2886,-0.32%
"Feb 22, 2020",1.2929,1.296,1.2973,1.2886,-0.32%
"Feb 21, 2020",1.2971,1.2884,1.2982,1.2876,0.70%
"Feb 20, 2020",1.2881,1.2922,1.293,1.2848,-0.31%
"Feb 19, 2020",1.2921,1.2998,1.3024,1.2907,-0.60%
"Feb 18, 2020",1.2999,1.3007,1.305,1.2971,-0.08%
"Feb 17, 2020",1.3009,1.3036,1.3056,1.2998,-0.29%
"Feb 16, 2020",1.3009,1.3036,1.3056,1.2998,-0.29%
"Feb 15, 2020",1.3009,1.3036,1.3056,1.2998,-0.29%
"Feb 14, 2020",1.3047,1.305,1.3063,1.2999,0.00%
"Feb 13, 2020",1.3047,1.2958,1.3071,1.2943,0.66%
"Feb 12, 2020",1.2961,1.2951,1.2992,1.2946,0.06%
"Feb 11, 2020",1.2953,1.2915,1.297,1.2895,0.29%
"Feb 10, 2020",1.2915,1.2898,1.2947,1.2872,0.17%
"Feb 09, 2020",1.2915,1.2898,1.2947,1.2872,0.17%
"Feb 08, 2020",1.2915,1.2898,1.2947,1.2872,0.17%
"Feb 07, 2020",1.2893,1.293,1.2959,1.2881,-0.29%
"Feb 06, 2020",1.293,1.2999,1.3005,1.2921,-0.55%
"Feb 05, 2020",1.3002,1.3034,1.3071,1.2956,-0.22%
"Feb 04, 2020",1.3031,1.2994,1.3048,1.294,0.28%
"Feb 03, 2020",1.2995,1.3216,1.3216,1.2983,-1.56%
"Feb 02, 2020",1.2995,1.3216,1.3216,1.2983,-1.56%
"Feb 01, 2020",1.2995,1.3216,1.3216,1.2983,-1.56%
"Jan 31, 2020",1.3201,1.3099,1.321,1.3083,0.81%
"Jan 30, 2020",1.3095,1.3019,1.3112,1.2977,0.57%
"Jan 29, 2020",1.3021,1.3028,1.3031,1.2988,-0.05%
"Jan 28, 2020",1.3028,1.3054,1.3066,1.2975,-0.21%
"Jan 27, 2020",1.3055,1.3075,1.3105,1.3041,-0.17%
"Jan 26, 2020",1.3055,1.3075,1.3105,1.3041,-0.17%
"Jan 25, 2020",1.3055,1.3075,1.3105,1.3041,-0.17%
"Jan 24, 2020",1.3077,1.3121,1.3173,1.3056,-0.35%
"Jan 23, 2020",1.3123,1.314,1.3152,1.3097,-0.14%
"Jan 22, 2020",1.3142,1.3051,1.3154,1.3034,0.70%
"Jan 21, 2020",1.3051,1.3014,1.3087,1.2996,0.31%
"Jan 20, 2020",1.3011,1.3002,1.3014,1.2961,0.01%
"Jan 19, 2020",1.3011,1.3002,1.3014,1.2961,0.01%
"Jan 18, 2020",1.3011,1.3002,1.3014,1.2961,0.01%
"Jan 17, 2020",1.301,1.3081,1.3119,1.3006,-0.53%
"Jan 16, 2020",1.3079,1.304,1.3085,1.3026,0.31%
"Jan 15, 2020",1.3038,1.3018,1.3045,1.2986,0.15%
"Jan 14, 2020",1.3018,1.2988,1.3034,1.2952,0.22%
"Jan 13, 2020",1.299,1.3056,1.3064,1.2961,-0.54%
"Jan 12, 2020",1.3061,1.3067,1.3097,1.3042,-0.05%
"Jan 11, 2020",1.3061,1.3067,1.3097,1.3042,-0.05%
"Jan 10, 2020",1.3061,1.3067,1.3097,1.3042,-0.05%
"Jan 09, 2020",1.3067,1.31,1.3126,1.3013,-0.24%
"Jan 08, 2020",1.3098,1.3124,1.317,1.3078,-0.21%
"Jan 07, 2020",1.3125,1.3169,1.3213,1.3095,-0.33%
"Jan 06, 2020",1.3169,1.3075,1.3175,1.3063,0.62%
"Jan 05, 2020",1.3169,1.3075,1.3175,1.3063,0.62%
"Jan 04, 2020",1.3169,1.3075,1.3175,1.3063,0.62%
"Jan 03, 2020",1.3088,1.3137,1.3161,1.3054,-0.44%
"Jan 02, 2020",1.3146,1.3256,1.3268,1.3115,-0.82%
"Jan 01, 2020",1.3255,1.326,1.3276,1.3236,-0.05%
"Dec 31, 2019",1.3261,1.3117,1.3285,1.3106,1.11%
