Date,Price,Open,High,Low,Change %
"Jun 23, 2020",0.9032,0.9035,0.9082,0.9017,-0.04%
"Jun 22, 2020",0.9035,0.9053,0.9073,0.9018,-0.10%
"Jun 21, 2020",,,,,
"Jun 20, 2020",,,,,
"Jun 19, 2020",0.9044,0.9017,0.9075,0.9005,0.30%
"Jun 18, 2020",0.9017,0.8954,0.9044,0.8949,0.69%
"Jun 17, 2020",0.8955,0.8956,0.8991,0.8935,-0.01%
"Jun 16, 2020",0.8956,0.8982,0.8992,0.8909,-0.31%
"Jun 15, 2020",0.8984,0.8977,0.9026,0.896,0.09%
"Jun 14, 2020",,,,,
"Jun 13, 2020",,,,,
"Jun 12, 2020",0.8975,0.8967,0.8999,0.8947,0.11%
"Jun 11, 2020",0.8965,0.8923,0.9017,0.8918,0.50%
"Jun 10, 2020",0.8921,0.8911,0.8933,0.8881,0.13%
"Jun 09, 2020",0.8909,0.8877,0.8943,0.8863,0.35%
"Jun 08, 2020",0.8877,0.8902,0.8929,0.8868,-0.38%
"Jun 07, 2020",,,,,
"Jun 06, 2020",,,,,
"Jun 05, 2020",0.8911,0.9001,0.9008,0.8885,-1.01%
"Jun 04, 2020",0.9002,0.8934,0.901,0.8927,0.76%
"Jun 03, 2020",0.8934,0.8901,0.8941,0.8877,0.38%
"Jun 02, 2020",0.89,0.8914,0.8923,0.8866,-0.13%
"Jun 01, 2020",0.8913,0.8993,0.9026,0.8901,-0.86%
"May 31, 2020",,,,,
"May 30, 2020",,,,,
"May 29, 2020",0.899,0.8991,0.9056,0.8977,-0.02%
"May 28, 2020",0.8992,0.8982,0.8996,0.896,0.11%
"May 27, 2020",0.8982,0.8906,0.8996,0.8885,0.88%
"May 26, 2020",0.8904,0.8942,0.8947,0.8877,-0.42%
"May 25, 2020",0.8942,0.8953,0.8959,0.8927,-0.14%
"May 24, 2020",,,,,
"May 23, 2020",,,,,
"May 22, 2020",0.8954,0.8957,0.8973,0.8926,-0.04%
"May 21, 2020",0.8959,0.897,0.9003,0.8942,-0.12%
"May 20, 2020",0.897,0.8919,0.8985,0.8909,0.62%
"May 19, 2020",0.8914,0.8949,0.8961,0.8902,-0.39%
"May 18, 2020",0.8949,0.8949,0.8964,0.8892,0.16%
"May 17, 2020",,,,,
"May 16, 2020",,,,,
"May 15, 2020",0.8935,0.8836,0.8942,0.8828,1.11%
"May 14, 2020",0.8837,0.8845,0.8871,0.8825,-0.09%
"May 13, 2020",0.8845,0.8848,0.8879,0.8806,-0.03%
"May 12, 2020",0.8848,0.876,0.8853,0.8749,0.99%
"May 11, 2020",0.8761,0.874,0.8808,0.8715,0.29%
"May 10, 2020",,,,,
"May 09, 2020",,,,,
"May 08, 2020",0.8736,0.8763,0.8773,0.871,-0.31%
"May 07, 2020",0.8763,0.8746,0.8792,0.8707,0.19%
"May 06, 2020",0.8746,0.8717,0.8758,0.8697,0.36%
"May 05, 2020",0.8715,0.8765,0.8773,0.869,-0.59%
"May 04, 2020",0.8766,0.8785,0.8816,0.8753,-0.17%
"May 03, 2020",,,,,
"May 02, 2020",,,,,
"May 01, 2020",0.8781,0.8699,0.8798,0.869,0.93%
"Apr 30, 2020",0.87,0.8722,0.8745,0.8668,-0.28%
"Apr 29, 2020",0.8724,0.8708,0.8757,0.8692,0.18%
