Date,Price,Open,High,Low,Change %
"May 22, 2020",7.1304,7.115,7.1462,7.113,0.21%
"May 21, 2020",7.1153,7.0935,7.1177,7.0926,0.31%
"May 20, 2020",7.0935,7.1003,7.1112,7.0914,-0.08%
"May 19, 2020",7.0992,7.1017,7.1146,7.0966,-0.15%
"May 18, 2020",7.1097,7.1062,7.1219,7.1013,0.11%
,,,,,
,,,,,
"May 15, 2020",7.1021,7.099,7.1095,7.0944,0.09%
"May 14, 2020",7.0958,7.095,7.1034,7.0927,0.05%
"May 13, 2020",7.0922,7.0828,7.0971,7.0823,0.13%
"May 12, 2020",7.0828,7.0958,7.1006,7.079,-0.23%
"May 11, 2020",7.0992,7.0762,7.0999,7.0712,0.35%
,,,,,
,,,,,
"May 08, 2020",7.0742,7.0744,7.0811,7.0692,-0.14%
"May 07, 2020",7.0844,7.1058,7.1085,7.0842,-0.29%
"May 06, 2020",7.1046,7.0622,7.1061,7.0622,0.60%
