Date,Price,Open,High,Low,Change %
"Jun 16, 2020",1.1264,1.1325,1.1353,1.1228,-0.53%
"Jun 15, 2020",1.1324,1.1245,1.1334,1.1226,0.60%
"Jun 14, 2020",,,,,
"Jun 13, 2020",,,,,
"Jun 12, 2020",1.1256,1.1299,1.1341,1.1212,-0.38%
"Jun 11, 2020",1.1299,1.1373,1.1404,1.1287,-0.63%
"Jun 10, 2020",1.1371,1.134,1.1423,1.1322,0.26%
"Jun 09, 2020",1.1342,1.1297,1.1365,1.1241,0.43%
"Jun 08, 2020",1.1294,1.1289,1.1321,1.1267,0.07%
"Jun 07, 2020",,,,,
"Jun 06, 2020",,,,,
"Jun 05, 2020",1.1286,1.1337,1.1385,1.1278,-0.46%
"Jun 04, 2020",1.1338,1.1234,1.1363,1.1194,0.93%
"Jun 03, 2020",1.1234,1.1172,1.1257,1.1166,0.56%
"Jun 02, 2020",1.1171,1.1137,1.1197,1.1114,0.32%
"Jun 01, 2020",1.1135,1.1097,1.1155,1.1095,0.32%
"May 31, 2020",,,,,
"May 30, 2020",,,,,
"May 29, 2020",1.1099,1.1078,1.1146,1.107,0.19%
"May 28, 2020",1.1078,1.1005,1.1094,1.0991,0.66%
"May 27, 2020",1.1005,1.0983,1.1032,1.0934,0.21%
"May 26, 2020",1.0982,1.0899,1.0997,1.0891,0.75%
"May 25, 2020",1.09,1.0903,1.0915,1.087,-0.02%
"May 24, 2020",,,,,
"May 23, 2020",,,,,
"May 22, 2020",1.0902,1.0949,1.0961,1.0885,-0.44%
"May 21, 2020",1.095,1.0979,1.101,1.0936,-0.26%
"May 20, 2020",1.0979,1.0928,1.1,1.0918,0.51%
"May 19, 2020",1.0923,1.0913,1.0977,1.0901,0.09%
"May 18, 2020",1.0913,1.0816,1.0927,1.0799,0.90%
"May 17, 2020",,,,,
"May 16, 2020",,,,,
"May 15, 2020",1.0816,1.0805,1.0851,1.0789,0.10%
"May 14, 2020",1.0805,1.0819,1.0826,1.0775,-0.12%
"May 13, 2020",1.0818,1.0848,1.0897,1.0811,-0.28%
"May 12, 2020",1.0848,1.0807,1.0885,1.0784,0.37%
"May 11, 2020",1.0808,1.0838,1.0851,1.08,-0.30%
"May 10, 2020",,,,,
"May 09, 2020",,,,,
"May 08, 2020",1.0841,1.0833,1.0876,1.0814,0.06%
"May 07, 2020",1.0834,1.0795,1.0835,1.0766,0.36%
"May 06, 2020",1.0795,1.0836,1.0848,1.0782,-0.42%
"May 05, 2020",1.084,1.0907,1.0927,1.0826,-0.62%
"May 04, 2020",1.0908,1.098,1.098,1.0895,-0.70%
"May 03, 2020",,,,,
"May 02, 2020",,,,,
"May 01, 2020",1.0985,1.0956,1.1019,1.0934,0.26%
"Apr 30, 2020",1.0957,1.0872,1.0973,1.0833,0.75%
"Apr 29, 2020",1.0875,1.0819,1.0886,1.0818,0.51%
"Apr 28, 2020",1.082,1.0829,1.089,1.081,-0.09%
"Apr 27, 2020",1.083,1.0809,1.0862,1.0808,0.08%
"Apr 26, 2020",,,,,
"Apr 25, 2020",,,,,
"Apr 24, 2020",1.0821,1.0778,1.0831,1.0726,0.40%
"Apr 23, 2020",1.0778,1.0824,1.0848,1.0755,-0.42%
"Apr 22, 2020",1.0823,1.0857,1.0886,1.0802,-0.32%
"Apr 21, 2020",1.0858,1.0862,1.0882,1.0816,-0.05%
"Apr 20, 2020",1.0863,1.0875,1.0898,1.0841,-0.14%
"Apr 19, 2020",,,,,
"Apr 18, 2020",,,,,
"Apr 17, 2020",1.0878,1.0835,1.0893,1.0812,0.38%
"Apr 16, 2020",1.0837,1.0911,1.0913,1.0817,-0.66%
"Apr 15, 2020",1.0909,1.098,1.0991,1.0856,-0.66%
"Apr 14, 2020",1.0981,1.0914,1.0988,1.0904,0.60%
"Apr 13, 2020",1.0915,1.0941,1.0969,1.0892,-0.19%
"Apr 12, 2020",,,,,
"Apr 11, 2020",,,,,
"Apr 10, 2020",1.0936,1.093,1.0953,1.0919,0.06%
"Apr 09, 2020",1.0929,1.0857,1.0953,1.0841,0.65%
"Apr 08, 2020",1.0858,1.0891,1.0904,1.0829,-0.30%
"Apr 07, 2020",1.0891,1.0793,1.0926,1.0783,0.91%
"Apr 06, 2020",1.0793,1.0813,1.0835,1.0768,-0.15%
"Apr 05, 2020",,,,,
"Apr 04, 2020",,,,,
"Apr 03, 2020",1.0809,1.0858,1.0865,1.0773,-0.45%
"Apr 02, 2020",1.0858,1.0964,1.097,1.082,-0.97%
"Apr 01, 2020",1.0964,1.1031,1.104,1.0903,-0.61%
"Mar 31, 2020",1.1031,1.1049,1.1056,1.0926,-0.15%
"Mar 30, 2020",1.1048,1.1136,1.1145,1.101,-0.84%
"Mar 29, 2020",,,,,
"Mar 28, 2020",,,,,
"Mar 27, 2020",1.1142,1.103,1.1148,1.0953,1.02%
"Mar 26, 2020",1.103,1.0881,1.1059,1.0869,1.36%
"Mar 25, 2020",1.0882,1.0789,1.0895,1.0761,0.86%
"Mar 24, 2020",1.0789,1.0726,1.0889,1.0722,0.62%
"Mar 23, 2020",1.0723,1.0696,1.0828,1.0637,0.26%
"Mar 22, 2020",,,,,
"Mar 21, 2020",,,,,
"Mar 20, 2020",1.0695,1.0691,1.0832,1.0637,0.03%
"Mar 19, 2020",1.0691,1.0915,1.0982,1.0654,-2.05%
"Mar 18, 2020",1.0915,1.0997,1.1046,1.0802,-0.75%
"Mar 17, 2020",1.0997,1.1183,1.119,1.0955,-1.66%
"Mar 16, 2020",1.1183,1.1085,1.1237,1.1046,0.69%
"Mar 15, 2020",,,,,
"Mar 14, 2020",,,,,
"Mar 13, 2020",1.1106,1.1185,1.1222,1.1054,-0.70%
"Mar 12, 2020",1.1185,1.1269,1.1334,1.1055,-0.75%
"Mar 11, 2020",1.1269,1.128,1.1367,1.1257,-0.10%
"Mar 10, 2020",1.128,1.1446,1.1459,1.1274,-1.48%
"Mar 09, 2020",1.1449,1.1292,1.1494,1.1284,1.44%
"Mar 08, 2020",,,,,
"Mar 07, 2020",,,,,
"Mar 06, 2020",1.1286,1.1238,1.1356,1.1212,0.40%
"Mar 05, 2020",1.1241,1.1136,1.1245,1.1119,0.94%
"Mar 04, 2020",1.1136,1.1172,1.1187,1.1094,-0.33%
