Date,Price,Open,High,Low,Change %
"Jun 14, 2020",,,,,
"Jun 13, 2020",,,,,
"Jun 12, 2020","1,203.77","1,206.20","1,210.48","1,200.61",-0.20%
"Jun 11, 2020","1,206.20","1,190.79","1,208.40","1,188.11",1.29%
"Jun 10, 2020","1,190.79","1,198.52","1,200.79","1,184.24",-0.64%
"Jun 09, 2020","1,198.52","1,195.90","1,202.93","1,194.99",0.21%
"Jun 08, 2020","1,195.96","1,201.85","1,205.56","1,194.25",-0.51%
"Jun 07, 2020",,,,,
"Jun 06, 2020",,,,,
"Jun 05, 2020","1,202.10","1,216.54","1,218.76","1,200.35",-1.19%
"Jun 04, 2020","1,216.54","1,215.95","1,220.20","1,212.94",0.05%
"Jun 03, 2020","1,215.95","1,220.12","1,220.67","1,214.12",-0.34%
"Jun 02, 2020","1,220.12","1,223.05","1,227.33","1,216.33",-0.24%
"Jun 01, 2020","1,223.05","1,231.47","1,232.19","1,221.74",-0.69%
"May 31, 2020",,,,,
"May 30, 2020",,,,,
"May 29, 2020","1,231.59","1,238.03","1,240.70","1,230.18",-0.52%
"May 28, 2020","1,238.03","1,238.26","1,242.59","1,233.71",-0.02%
"May 27, 2020","1,238.26","1,230.99","1,239.51","1,230.43",0.59%
"May 26, 2020","1,230.99","1,240.95","1,242.70","1,230.11",-0.80%
"May 25, 2020","1,240.95","1,240.56","1,244.89","1,237.61",0.02%
"May 24, 2020",,,,,
"May 23, 2020",,,,,
"May 22, 2020","1,240.66","1,233.27","1,244.51","1,232.81",0.60%
"May 21, 2020","1,233.27","1,227.40","1,234.52","1,226.44",0.48%
"May 20, 2020","1,227.40","1,225.18","1,232.70","1,224.17",0.18%
"May 19, 2020","1,225.18","1,225.27","1,227.55","1,221.06",-0.01%
"May 18, 2020","1,225.27","1,233.09","1,235.04","1,224.44",-0.64%
"May 17, 2020",,,,,
"May 16, 2020",,,,,
"May 15, 2020","1,233.19","1,227.53","1,235.58","1,226.30",0.46%
"May 14, 2020","1,227.53","1,227.51","1,234.03","1,226.12",0.00%
"May 13, 2020","1,227.51","1,226.84","1,229.40","1,222.17",0.05%
"May 12, 2020","1,226.84","1,223.41","1,228.95","1,220.19",0.28%
"May 11, 2020","1,223.41","1,219.70","1,226.18","1,214.18",0.30%
"May 10, 2020",,,,,
"May 09, 2020",,,,,
"May 08, 2020","1,219.80","1,220.11","1,221.82","1,214.51",-0.03%
"May 07, 2020","1,220.11","1,229.60","1,230.06","1,217.08",-0.77%
"May 06, 2020","1,229.55","1,222.57","1,230.03","1,220.57",0.57%
"May 05, 2020","1,222.57","1,224.18","1,224.82","1,218.20",-0.13%
"May 04, 2020","1,224.18","1,224.80","1,230.53","1,223.36",-0.06%
"May 03, 2020",,,,,
"May 02, 2020",,,,,
"May 01, 2020","1,224.93","1,213.94","1,225.87","1,213.10",0.91%
"Apr 30, 2020","1,213.94","1,211.10","1,215.69","1,203.52",0.23%
"Apr 29, 2020","1,211.10","1,221.81","1,223.45","1,210.42",-0.88%
"Apr 28, 2020","1,221.81","1,222.64","1,227.95","1,216.86",-0.05%
"Apr 27, 2020","1,222.45","1,230.50","1,235.10","1,220.81",-0.66%
"Apr 26, 2020",,,,,
"Apr 25, 2020",,,,,
"Apr 24, 2020","1,230.62","1,233.54","1,238.24","1,229.93",-0.24%
"Apr 23, 2020","1,233.54","1,234.05","1,237.23","1,227.72",-0.04%
"Apr 22, 2020","1,234.05","1,233.53","1,237.91","1,229.92",0.04%
"Apr 21, 2020","1,233.56","1,220.62","1,241.82","1,220.12",1.06%
"Apr 20, 2020","1,220.62","1,216.26","1,222.63","1,214.71",0.36%
"Apr 19, 2020",,,,,
"Apr 18, 2020",,,,,
"Apr 17, 2020","1,216.24","1,228.98","1,229.45","1,213.95",-1.04%
"Apr 16, 2020","1,228.98","1,224.72","1,230.53","1,222.94",0.35%
"Apr 15, 2020","1,224.72","1,212.50","1,225.77","1,209.61",1.01%
"Apr 14, 2020","1,212.50","1,215.97","1,219.45","1,211.31",-0.28%
"Apr 13, 2020","1,215.96","1,212.04","1,221.70","1,211.59",0.36%
"Apr 12, 2020",,,,,
"Apr 11, 2020",,,,,
"Apr 10, 2020","1,211.55","1,211.11","1,216.10","1,206.64",0.04%
"Apr 09, 2020","1,211.08","1,216.26","1,222.36","1,208.67",-0.43%
"Apr 08, 2020","1,216.26","1,215.43","1,223.19","1,214.09",0.07%
"Apr 07, 2020","1,215.43","1,224.64","1,225.56","1,208.79",-0.75%
"Apr 06, 2020","1,224.64","1,236.42","1,239.51","1,223.58",-0.97%
"Apr 05, 2020",,,,,
"Apr 04, 2020",,,,,
"Apr 03, 2020","1,236.61","1,227.85","1,240.65","1,224.18",0.71%
"Apr 02, 2020","1,227.85","1,236.70","1,243.29","1,225.56",-0.72%
"Apr 01, 2020","1,236.70","1,218.80","1,239.27","1,216.80",1.47%
"Mar 31, 2020","1,218.80","1,224.71","1,225.21","1,214.28",-0.48%
"Mar 30, 2020","1,224.71","1,212.73","1,227.21","1,212.18",0.99%
"Mar 29, 2020",,,,,
"Mar 28, 2020",,,,,
"Mar 27, 2020","1,212.73","1,213.40","1,227.29","1,205.31",-0.06%
"Mar 26, 2020","1,213.40","1,233.00","1,235.43","1,212.48",-1.59%
"Mar 25, 2020","1,233.00","1,234.21","1,239.08","1,226.07",-0.10%
"Mar 24, 2020","1,234.21","1,273.00","1,273.04","1,232.90",-3.05%
"Mar 23, 2020","1,273.00","1,254.85","1,283.05","1,254.40",1.44%
"Mar 22, 2020",,,,,
"Mar 21, 2020",,,,,
"Mar 20, 2020","1,254.95","1,258.36","1,264.60","1,237.22",-0.27%
